,C1,C2,C3,C4,"C5,,,,,",date_hour,No. of Visitors,index,cluster,data_a,numero_presenze,layer_id,layer_nome,dettaglio(secondi),temp,winds,rainfall_mm,snowfall_mm,date,Day,Holiday,isHoliday
0,"68,7",,"76,0",,"66,6,,",2018-01-01 00:00:00,,,,,,,,,1.0400000000000205,0.36666666666666653,-0.01,2.6,01-01-18,monday,New year's Day,1
1,"68,3",,"68,2",,"65,4,,",2018-01-01 01:00:00,,,,,,,,,1.0900000000000318,0.5900000000000001,0.009000000000000001,2.6,01-01-18,monday,New year's Day,1
2,"59,8",,"64,4",,"64,4,,",2018-01-01 02:00:00,,,,,,,,,1.0500000000000114,0.45,0.008000000000000002,2.2666666666666666,01-01-18,monday,New year's Day,1
3,"67,4",,"67,5",,"61,8,,",2018-01-01 03:00:00,,,,,,,,,0.8900000000000432,0.4,0.006,2.2666666666666666,01-01-18,monday,New year's Day,1
4,"68,0",,"64,5",,"60,5,,",2018-01-01 04:00:00,,,,,,,,,0.7300000000000182,0.78,-0.011000000000000001,2.3,01-01-18,monday,New year's Day,1
5,"55,4",,"56,7",,"59,5,,",2018-01-01 05:00:00,,,,,,,,,0.7800000000000296,0.5499999999999999,-0.014000000000000002,2.1333333333333333,01-01-18,monday,New year's Day,1
6,"57,5",,"53,2",,"58,2,,",2018-01-01 06:00:00,,,,,,,,,0.8300000000000409,0.63,-0.011000000000000001,2.1666666666666665,01-01-18,monday,New year's Day,1
7,"51,8",,,,"57,0,,,",2018-01-01 07:00:00,,,,,,,,,1.0,1.2199999999999998,-0.014000000000000002,2.333333333333333,01-01-18,monday,New year's Day,1
8,"63,0",,,,"55,8,,,",2018-01-01 08:00:00,,,,,,,,,1.2700000000000389,1.4,-0.012,2.0,01-01-18,monday,New year's Day,1
9,"53,8",,,,"56,5,,,",2018-01-01 09:00:00,,,,,,,,,1.2800000000000296,0.95,-0.012,2.433333333333333,01-01-18,monday,New year's Day,1
10,"57,9",,,,"58,1,,,",2018-01-01 10:00:00,,,,,,,,,1.9800000000000184,0.7099999999999999,-0.012,3.333333333333333,01-01-18,monday,New year's Day,1
11,"59,4",,,,"60,7,,,",2018-01-01 11:00:00,,,,,,,,,2.7700000000000387,0.78,-0.013,4.666666666666667,01-01-18,monday,New year's Day,1
12,"58,9",,,,"62,0,,,",2018-01-01 12:00:00,,,,,,,,,3.82000000000005,1.0499999999999998,-0.008,6.333333333333332,01-01-18,monday,New year's Day,1
13,"58,5",,,,"61,4,,,",2018-01-01 13:00:00,,,,,,,,,4.129999999999996,1.4700000000000002,-0.009000000000000001,6.166666666666668,01-01-18,monday,New year's Day,1
14,"57,7",,,,"59,6,,,",2018-01-01 14:00:00,,,,,,,,,4.830000000000041,1.5699999999999998,-0.009000000000000001,5.366666666666667,01-01-18,monday,New year's Day,1
15,"57,5",,,,"61,0,,,",2018-01-01 15:00:00,,,,,,,,,4.5200000000000395,1.02,-0.01,4.566666666666666,01-01-18,monday,New year's Day,1
16,"64,2",,,,"62,2,,,",2018-01-01 16:00:00,,,,,,,,,3.240000000000009,0.85,-0.009000000000000001,3.8333333333333335,01-01-18,monday,New year's Day,1
17,"60,4",,,,"62,4,,,",2018-01-01 17:00:00,,,,,,,,,2.950000000000045,0.99,-0.011000000000000001,4.066666666666666,01-01-18,monday,New year's Day,1
18,"60,7",,,,"61,7,,,",2018-01-01 18:00:00,,,,,,,,,2.2200000000000277,1.4899999999999998,-0.015000000000000003,4.133333333333334,01-01-18,monday,New year's Day,1
19,"60,0",,,,"62,2,,,",2018-01-01 19:00:00,,,,,,,,,2.010000000000048,1.3099999999999998,-0.019,3.733333333333333,01-01-18,monday,New year's Day,1
20,"59,4",,,,"60,8,,,",2018-01-01 20:00:00,,,,,,,,,1.7100000000000364,1.5599999999999996,-0.015,3.4333333333333336,01-01-18,monday,New year's Day,1
21,"57,8",,"57,9",,"59,6,,",2018-01-01 21:00:00,,,,,,,,,1.2000000000000457,1.09,-0.016,3.1,01-01-18,monday,New year's Day,1
22,"58,2",,"57,7",,"59,0,,",2018-01-01 22:00:00,,,,,,,,,0.8400000000000318,0.8500000000000002,-0.016999999999999998,3.033333333333333,01-01-18,monday,New year's Day,1
23,"56,5",,"57,5",,"59,0,,",2018-01-01 23:00:00,,,,,,,,,1.910000000000025,0.8200000000000001,-0.019,3.1333333333333333,01-01-18,monday,New year's Day,1
24,"55,5",,"56,2",,"56,4,,",2018-02-01 00:00:00,,,,,,,,,3.1000000000000227,0.6666666666666666,-0.01,3.1,01-02-18,,,0
25,"59,2",,"54,7",,"52,7,,",2018-02-01 01:00:00,,,,,,,,,2.6000000000000227,0.7000000000000001,-0.015,2.9333333333333336,01-02-18,,,0
26,"46,8",,"51,0",,"51,9,,",2018-02-01 02:00:00,,,,,,,,,2.3700000000000045,1.39,-0.012,2.6666666666666665,01-02-18,,,0
27,"47,2",,"51,1",,"48,7,,",2018-02-01 03:00:00,,,,,,,,,2.430000000000007,1.1999999999999995,-0.018000000000000002,1.6333333333333335,01-02-18,,,0
28,"47,5",,"51,3",,"51,0,,",2018-02-01 04:00:00,,,,,,,,,1.4900000000000089,1.16,-0.014000000000000002,1.4666666666666668,01-02-18,,,0
29,"47,9",,"50,9",,"56,1,,",2018-02-01 05:00:00,,,,,,,,,1.1600000000000248,1.34,-0.007000000000000001,3.8333333333333335,01-02-18,,,0
30,"58,9",,"55,3",,"58,7,,",2018-02-01 06:00:00,,,,,,,,,2.450000000000045,0.9999999999999998,0.001,3.5666666666666664,01-02-18,,,0
31,"65,5",,,,"62,2,,,",2018-02-01 07:00:00,,,,,,,,,2.800000000000012,0.69,0.004,2.8666666666666667,01-02-18,,,0
32,"65,2",,,,"63,8,,,",2018-02-01 08:00:00,,,,,,,,,4.680000000000007,0.9399999999999998,-0.003999999999999999,3.233333333333333,01-02-18,,,0
33,"67,8",,,,"63,3,,,",2018-02-01 09:00:00,,,,,,,,,7.32000000000005,0.8299999999999998,0.001,4.533333333333334,01-02-18,,,0
34,"59,7",,,,"65,0,,,",2018-02-01 10:00:00,,,,,,,,,9.680000000000009,1.58,-0.005,8.833333333333334,01-02-18,,,0
35,"61,9",,,,"64,7,,,",2018-02-01 11:00:00,,,,,,,,,10.700000000000044,2.94,-0.014000000000000002,13.133333333333333,01-02-18,,,0
36,"60,7",,,,"64,4,,,",2018-02-01 12:00:00,,,,,,,,,12.82000000000005,3.08,-0.01,14.4,01-02-18,,,0
37,"60,9",,,,"62,5,,,",2018-02-01 13:00:00,,,,,,,,,11.879999999999995,2.28,-0.007000000000000001,15.4,01-02-18,,,0
38,"59,1",,,,"63,0,,,",2018-02-01 14:00:00,,,,,,,,,11.590000000000034,3.14,-0.006999999999999999,15.5,01-02-18,,,0
